ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,Grade Point 
610098,722,717,704,709,707,711,705,716,715,713,708,710,731,742,726,702,725,712,706,105.5
610099,712,707,725,722,706,742,731,717,711,709,702,704,705,715,708,710,713,716,726,124.5
610100,711,707,725,712,702,704,705,706,708,709,710,713,715,716,717,722,726,731,742,170.5
610101,704,717,713,715,708,726,710,702,709,712,725,731,722,707,705,711,716,742,706,104.5
610102,707,702,716,705,704,706,711,717,708,709,725,722,713,710,726,712,715,731,742,113.5
610103,705,712,725,722,707,704,717,702,709,713,742,711,716,731,708,710,715,726,706,141.5
610104,707,722,702,713,726,709,716,712,704,711,708,717,710,725,742,731,715,705,706,115.5
610105,705,708,702,712,715,722,717,709,707,713,726,704,731,725,716,711,742,710,706,88.5
610106,706,725,707,722,717,711,712,742,705,704,702,708,709,710,713,715,716,726,731,143
610107,711,712,707,715,726,722,725,713,717,702,709,704,716,708,710,706,705,731,742,78
610108,712,711,707,716,722,702,742,705,708,715,717,725,726,731,709,704,710,713,706,160
610109,705,713,709,716,717,725,722,715,711,712,731,742,708,707,710,702,704,726,706,135.5
610110,725,705,702,722,716,742,731,726,709,717,715,707,706,704,708,710,711,712,713,137.5
610111,707,725,711,712,704,717,722,709,706,715,702,705,742,726,713,731,716,708,710,87.5
610112,712,731,705,742,702,709,711,707,725,722,710,708,717,704,715,726,713,716,706,93
610113,717,704,713,715,731,742,702,711,709,716,707,722,725,712,705,726,708,710,706,72
610114,717,704,705,715,713,707,742,712,722,725,711,706,716,709,731,708,702,726,710,120
610115,717,707,722,704,702,713,715,706,742,712,709,725,711,708,710,726,731,716,705,100.5
610116,717,704,715,712,726,709,725,708,705,706,742,731,722,707,702,711,716,713,710,63.5
610117,725,712,711,707,731,742,722,704,713,717,702,726,716,709,710,708,705,706,715,108
610118,704,731,709,742,717,711,715,725,702,708,726,716,705,712,707,722,713,710,706,164.5
610119,706,731,708,715,711,709,717,710,705,742,702,713,725,722,707,726,704,716,712,128
610120,705,742,717,713,716,704,702,731,709,708,710,726,715,712,707,711,722,725,706,93.5
610121,717,722,707,725,712,704,702,716,709,711,715,742,731,705,726,708,713,710,706,84
610122,717,708,704,702,715,725,711,707,726,716,710,722,709,742,712,731,713,706,705,100.5
610123,717,707,712,711,722,725,709,704,702,705,716,708,710,715,726,731,742,713,706,151.5
610124,731,742,702,704,711,709,705,715,712,716,708,707,713,725,726,710,717,722,706,98.5
610125,702,717,704,709,716,707,711,742,713,705,712,725,722,715,731,726,710,708,706,101
610126,711,725,707,712,709,717,704,713,705,722,702,742,731,716,715,706,726,708,710,67.5
610127,704,725,709,712,711,705,722,717,716,702,707,742,715,726,731,713,710,708,706,113
610128,712,722,704,717,711,702,706,725,742,705,707,731,709,713,715,726,716,708,710,144
610129,742,725,722,707,711,712,726,717,704,731,715,709,702,716,706,713,708,710,705,111.5
